pdf_page,column,raw_entry,entry,stage_bucket
136,right,buffet**,buffet,selective_required_new
136,right,build,build,compulsory_baseline
136,right,building,building,compulsory_baseline
136,right,bunch**,bunch,selective_required_new
136,right,burn,burn,compulsory_baseline
136,right,bury**,bury,selective_required_new
136,right,bus,bus,compulsory_baseline
136,right,business,business,compulsory_baseline
136,right,busy,busy,compulsory_baseline
136,right,but,but,compulsory_baseline
136,right,butcher**,butcher,selective_required_new
136,right,butter*,butter,required_new
136,right,button*,button,required_new
136,right,buy,buy,compulsory_baseline
136,right,by,by,compulsory_baseline
136,right,cabbage**,cabbage,selective_required_new
136,right,café*,café,required_new
136,right,cafeteria**,cafeteria,selective_required_new
136,right,cage**,cage,selective_required_new
136,right,cake,cake,compulsory_baseline
136,right,calculate**,calculate,selective_required_new
136,right,calendar,calendar,compulsory_baseline
136,right,call,call,compulsory_baseline
136,right,calligraphy**,calligraphy,selective_required_new
136,right,calm*,calm,required_new
136,right,calorie**,calorie,selective_required_new
137,left,camel**,camel,selective_required_new
137,left,camera,camera,compulsory_baseline
137,left,camp,camp,compulsory_baseline
137,left,campaign**,campaign,selective_required_new
137,left,campus*,campus,required_new
137,left,can,can,compulsory_baseline
137,left,Canada,Canada,compulsory_baseline
137,left,Canadian,Canadian,compulsory_baseline
137,left,canal**,canal,selective_required_new
137,left,cancel,cancel,compulsory_baseline
137,left,cancer**,cancer,selective_required_new
137,left,candidate**,candidate,selective_required_new
137,left,candle,candle,compulsory_baseline
137,left,candy,candy,compulsory_baseline
137,left,canteen**,canteen,selective_required_new
137,left,cap,cap,compulsory_baseline
137,left,capable*,capable,required_new
137,left,capacity**,capacity,selective_required_new
137,left,capital,capital,compulsory_baseline
137,left,capsule**,capsule,selective_required_new
137,left,captain**,captain,selective_required_new
137,left,car,car,compulsory_baseline
137,left,carbon*,carbon,required_new
137,left,card,card,compulsory_baseline
137,left,care,care,compulsory_baseline
137,left,career**,career,selective_required_new
137,left,careful,careful,compulsory_baseline
137,left,careless,careless,compulsory_baseline
137,right,carpet**,carpet,selective_required_new
137,right,carrot,carrot,compulsory_baseline
137,right,carry,carry,compulsory_baseline
137,right,cartoon,cartoon,compulsory_baseline
137,right,carve**,carve,selective_required_new
137,right,case*,case,required_new
137,right,cash*,cash,required_new
137,right,cast**,cast,selective_required_new
137,right,castle**,castle,selective_required_new
137,right,cat,cat,compulsory_baseline
137,right,catch,catch,compulsory_baseline
137,right,category**,category,selective_required_new
137,right,cattle*,cattle,required_new
137,right,cause,cause,compulsory_baseline
137,right,cave**,cave,selective_required_new
137,right,cease**,cease,selective_required_new
137,right,ceiling**,ceiling,selective_required_new
137,right,celebrate,celebrate,compulsory_baseline
137,right,celebrity**,celebrity,selective_required_new
137,right,cell**,cell,selective_required_new
137,right,cent,cent,compulsory_baseline
137,right,centimetre (centimeter)**,centimetre (centimeter),selective_required_new
137,right,central,central,compulsory_baseline
137,right,centre (center),centre (center),compulsory_baseline
137,right,century,century,compulsory_baseline
137,right,certain,certain,compulsory_baseline
137,right,certainly,certainly,compulsory_baseline
137,right,certificate**,certificate,selective_required_new
138,left,chain*,chain,required_new
138,left,chair,chair,compulsory_baseline
138,left,chairman / chairwoman**,chairman / chairwoman,selective_required_new
138,left,chalk,chalk,compulsory_baseline
138,left,challenge*,challenge,required_new
138,left,champion*,champion,required_new
138,left,chance,chance,compulsory_baseline
138,left,change,change,compulsory_baseline
138,left,channel**,channel,selective_required_new
138,left,chaos**,chaos,selective_required_new
138,left,chapter*,chapter,required_new
138,left,character*,character,required_new
138,left,characteristic**,characteristic,selective_required_new
138,left,charge*,charge,required_new
138,left,charity*,charity,required_new
138,left,chart**,chart,selective_required_new
138,left,chat*,chat,required_new
138,left,cheap,cheap,compulsory_baseline
138,left,cheat**,cheat,selective_required_new
138,left,check,check,compulsory_baseline
138,left,cheek**,cheek,selective_required_new
138,left,cheer,cheer,compulsory_baseline
138,left,cheese**,cheese,selective_required_new
138,left,chef**,chef,selective_required_new
138,left,chemical**,chemical,selective_required_new
138,left,chemist**,chemist,selective_required_new
138,left,chemistry,chemistry,compulsory_baseline
138,left,chess,chess,compulsory_baseline
138,right,chest**,chest,selective_required_new
138,right,chew**,chew,selective_required_new
