pdf_page,cet_level,raw_family
35,CET-4,bound１
35,CET-4,bound２
35,CET-4,bound３
35,CET-4,boundary
35,CET-6,bouquet
35,CET-6,bout
35,CET-4,bow１
35,CET-4,bow２
35,CET-4,bowel
35,CET-4,bowl
35,CET-4,box１
35,CET-4,box２
35,CET-4,boxing
35,CET-4,boy
35,CET-6,boycott
35,CET-6,brace
35,CET-4,bracket
35,CET-4,brag
35,CET-4,brain
35,CET-4,brake
35,CET-4,branch
35,CET-4,brand
35,CET-4,brandＧnew
35,CET-4,brandy
35,CET-4,brass
35,CET-4,brave bravery
35,CET-6,breach
35,CET-4,bread
35,CET-4,break
35,CET-4,breakdown
35,CET-4,breakfast
35,CET-4,breakthrough
35,CET-4,breast
35,CET-4,breath
35,CET-4,breathe
35,CET-4,breed
35,CET-4,breeze
35,CET-6,brew brewery
35,CET-4,bribe bribery
35,CET-4,brick
35,CET-4,bride
36,CET-4,bridegroom
36,CET-4,bridge
36,CET-4,brief briefing
36,CET-4,briefcase
36,CET-6,brigade
36,CET-4,bright brighten
36,CET-4,brilliant brilliance
36,CET-4,bring
36,CET-6,brink
36,CET-6,brisk
36,CET-4,broad broaden breadth
36,CET-4,broadcast
36,CET-4,brochure
36,CET-4,broke
36,CET-4,broker
36,CET-6,bronze
36,CET-6,brood
36,CET-4,broom
36,CET-4,brother
36,CET-4,brow
36,CET-4,brown
36,CET-4,browse browser
36,CET-6,bruise
36,CET-4,brunch
36,CET-4,brush
36,CET-4,brutal brutality
36,CET-4,bubble
36,CET-4,buck
36,CET-4,bucket
36,CET-4,buckle
36,CET-4,bud
36,CET-4,buddy
36,CET-6,Buddhism Buddhist
36,CET-4,budget budgetary
36,CET-6,buffalo
36,CET-6,buffer
36,CET-4,buffet
36,CET-4,bug
36,CET-4,build building
36,CET-4,bulb
36,CET-4,bulk bulky
36,CET-4,bull
37,CET-4,bullet
37,CET-4,bulletin
37,CET-4,bully
37,CET-4,bump
37,CET-4,bumper
37,CET-4,bunch
37,CET-4,bundle
37,CET-4,burden
37,CET-4,bureau
37,CET-6,bureaucrat bureaucratic bureaucracy
37,CET-6,burglar burglary
37,CET-4,burn
37,CET-4,burst
37,CET-4,bury burial
37,CET-4,bus
37,CET-4,bush bushy
37,CET-4,business
37,CET-4,businessman
37,CET-6,bust
37,CET-4,busy
37,CET-4,but
37,CET-4,butcher
37,CET-6,butt
37,CET-4,butter
37,CET-4,butterfly
37,CET-4,button
37,CET-4,buy buyer
37,CET-6,buzz
37,CET-4,by
37,CET-4,bypass
37,CET-4,bystander
37,CET-4,cab
37,CET-4,cabbage
37,CET-4,cabin
37,CET-4,cabinet
37,CET-4,cable
37,CET-4,cafe
37,CET-4,cafeteria
37,CET-4,cage
37,CET-4,cake
37,CET-6,calcium
37,CET-4,calculate calculation calculator calculating
38,CET-4,calendar
38,CET-4,calf
38,CET-4,call
38,CET-4,calling
38,CET-4,calm
38,CET-4,calorie
38,CET-4,camel
38,CET-4,camera
38,CET-4,camp
38,CET-4,campaign
38,CET-4,campus
38,CET-4,can１
38,CET-4,can２
38,CET-4,canal
38,CET-4,cancel cancellation
38,CET-4,cancer
38,CET-4,candidate candidacy
38,CET-4,candle
38,CET-4,candy
38,CET-4,cane
38,CET-6,cannon
38,CET-6,canoe
38,CET-4,canteen
38,CET-6,canvas
38,CET-4,cap
38,CET-4,capable capability
38,CET-4,capacity
38,CET-6,cape
38,CET-4,capital capitalist capitalism
38,CET-6,capsule
38,CET-4,captain
38,CET-6,caption
38,CET-6,captive
38,CET-4,capture
38,CET-4,car
38,CET-6,caravan
38,CET-6,carbohydrate
38,CET-4,carbon
38,CET-4,card
38,CET-4,cardboard
38,CET-6,cardinal
38,CET-4,care careful careless
39,CET-4,career
39,CET-4,cargo
39,CET-4,carpenter
39,CET-4,carpet
39,CET-4,carriage
39,CET-4,carrier
39,CET-4,carrot
39,CET-4,carry
39,CET-4,cart
39,CET-6,carton
39,CET-4,cartoon cartoonist
39,CET-6,carve carving
39,CET-4,case
39,CET-4,cash
39,CET-4,cashier
39,CET-6,casino
39,CET-4,cast
39,CET-4,castle
39,CET-4,casual
39,CET-6,casualty
39,CET-4,cat
39,CET-4,catalog(ue)
39,CET-6,catastrophe catastrophic
39,CET-4,catch
39,CET-4,category
39,CET-4,cater
39,CET-6,cathedral
39,CET-6,Catholic
39,CET-4,cattle
39,CET-6,cauliflower
39,CET-4,cause
39,CET-4,caution cautious
39,CET-4,cave
39,CET-6,cavity
39,CET-4,cease
39,CET-4,ceiling
39,CET-4,celebrate celebration
39,CET-6,celebrity
39,CET-4,cell
39,CET-4,cellar
39,CET-4,cellＧphone
39,CET-4,Celsius/Ｇcius
40,CET-4,cement
40,CET-6,cemetery
40,CET-6,censor censorship
40,CET-6,census
40,CET-4,cent
40,CET-4,center/Ｇtre central centralize/Ｇise
40,CET-4,centigrade
40,CET-4,centimeter/Ｇtre
40,CET-4,century
40,CET-6,ceramic
40,CET-4,cereal
40,CET-4,ceremony ceremonial
40,CET-4,certain certainly certainty
40,CET-4,certificate
40,CET-6,certify certification
40,CET-4,chain
